"","eventType","match"
"1","COASTAL FLOODING","COASTAL FLOOD"
"2","COASTAL FLOODING/EROSION","COASTAL FLOOD"
"3","EROSION/COASTAL FLOOD","COASTAL FLOOD"
"4","FLASH FLOOD/FLOOD","FLASH FLOOD"
"5","FLOOD/FLASH/FLOOD","FLOOD"
"6","ICE JAM FLOOD (MINOR","FLOOD"
"7","RIVER FLOOD","FLOOD"
"8","RIVER FLOODING","FLOOD"
"9","TIDAL FLOODING","FLOOD"
"10","GUSTY WIND/HAIL","HAIL"
"11","SMALL HAIL","HAIL"
"12","THUNDERSTORM WIND/HAIL","HAIL"
"13","HEAT WAVE","HEAT"
"14","RECORD HEAT","HEAT"
"15","HEAVY RAIN/HIGH SURF","HEAVY RAIN"
"16","HEAVY SNOW SHOWER","HEAVY SNOW"
"17","HEAVY SURF/HIGH SURF","HIGH SURF"
"18","HIGH SURF ADVISORY","HIGH SURF"
"19","HIGH WIND (G40)","HIGH WIND"
"20","HIGH WINDS","HIGH WIND"
"21","THUNDERSTORM WIND AND LIGHTNING","LIGHTNING"
"22","RIP CURRENTS","RIP CURRENT"
"23","STRONG WINDS","STRONG WIND"
"24","THUNDERSTORM WIND (41)","THUNDERSTORM WIND"
"25","THUNDERSTORM WIND (G35)","THUNDERSTORM WIND"
"26","THUNDERSTORM WIND (G40)","THUNDERSTORM WIND"
"27","THUNDERSTORM WIND (G45)","THUNDERSTORM WIND"
"28","THUNDERSTORM WIND 40","THUNDERSTORM WIND"
"29","THUNDERSTORM WIND 45","THUNDERSTORM WIND"
"30","THUNDERSTORM WIND G45","THUNDERSTORM WIND"
"31","WINTER WEATHER MIX","WINTER WEATHER"
"32","WINTER WEATHER/MIX","WINTER WEATHER"
"33","COASTAL EROSION","COASTAL FLOOD"
"34","COASTAL STORM","COASTAL FLOOD"
"35","COASTALSTORM","COASTAL FLOOD"
"36","FOG","DENSE FOG"
"37","BLOWING DUST","DUST STORM"
"38","EARLY FROST","FROST/FREEZE"
"39","FROST","FROST/FREEZE"
"40","BLOWING SNOW","HEAVY SNOW"
"41","COLD AND SNOW","HEAVY SNOW"
"42","EXCESSIVE SNOW","HEAVY SNOW"
"43","FALLING SNOW/ICE","HEAVY SNOW"
"44","LAKE EFFECT SNOW","HEAVY SNOW"
"45","LATE SEASON SNOW","HEAVY SNOW"
"46","LIGHT SNOW","HEAVY SNOW"
"47","LIGHT SNOWFALL","HEAVY SNOW"
"48","RAIN/SNOW","HEAVY SNOW"
"49","SNOW","HEAVY SNOW"
"50","SNOW AND ICE","HEAVY SNOW"
"51","SNOW SQUALL","HEAVY SNOW"
"52","SNOW SQUALLS","HEAVY SNOW"
"53","HAZARDOUS SURF","HIGH SURF"
"54","HEAVY SURF","HIGH SURF"
"55","HEAVY SURF AND WIND","HIGH SURF"
"56","ROUGH SURF","HIGH SURF"
"57","HURRICANE","HURRICANE (TYPHOON)"
"58","HURRICANE EDOUARD","HURRICANE (TYPHOON)"
"59","HURRICANE/TYPHOON","HURRICANE (TYPHOON)"
"60","ICY ROADS","ICE STORM"
"61","MARINE ACCIDENT","MARINE HIGH WIND"
"62","HEAVY SEAS","MARINE STRONG WIND"
"63","HIGH SEAS","MARINE STRONG WIND"
"64","ROUGH SEAS","MARINE STRONG WIND"
"65","STORM SURGE","STORM SURGE/TIDE"
"66","THUNDERSTORM","THUNDERSTORM WIND"
"67","BRUSH FIRE","WILDFIRE"
"68","WILD/FOREST FIRE","WILDFIRE"
"69","COLD","COLD/WIND CHILL"
"70","COLD TEMPERATURE","COLD/WIND CHILL"
"71","COLD WEATHER","COLD/WIND CHILL"
"72","EXTENDED COLD","COLD/WIND CHILL"
"73","EXTREME COLD","COLD/WIND CHILL"
"74","UNSEASONABLE COLD","COLD/WIND CHILL"
"75","UNSEASONABLY COLD","COLD/WIND CHILL"
"76","HIGH WATER","FLOOD"
"77","BLACK ICE","FROST/FREEZE"
"78","ICE ON ROAD","FROST/FREEZE"
"79","ICE ROADS","FROST/FREEZE"
"80","UNSEASONABLY WARM","HEAT"
"81","WARM WEATHER","HEAT"
"82","FREEZING RAIN","HEAVY RAIN"
"83","GUSTY WIND/HVY RAIN","HEAVY RAIN"
"84","GUSTY WIND/RAIN","HEAVY RAIN"
"85","LIGHT FREEZING RAIN","HEAVY RAIN"
"86","RAIN","HEAVY RAIN"
"87","TORRENTIAL RAINFALL","HEAVY RAIN"
"88","UNSEASONAL RAIN","HEAVY RAIN"
"89","EXTREME WINDCHILL","HIGH WIND"
"90","GRADIENT WIND","HIGH WIND"
"91","GUSTY WIND","HIGH WIND"
"92","GUSTY WINDS","HIGH WIND"
"93","NON-SEVERE WIND DAMAGE","HIGH WIND"
"94","WHIRLWIND","HIGH WIND"
"95","WIND","HIGH WIND"
"96","WIND AND WAVE","HIGH WIND"
"97","WIND DAMAGE","HIGH WIND"
"98","WINDS","HIGH WIND"
"99","TYPHOON","HURRICANE (TYPHOON)"
"100","ROGUE WAVE","MARINE HIGH WIND"
"101","ASTRONOMICAL HIGH TIDE","STORM SURGE/TIDE"
"102","WINTRY MIX","WINTER WEATHER"
"103","BEACH EROSION","COASTAL FLOOD"
"104","HYPERTHERMIA/EXPOSURE","COLD/WIND CHILL"
"105","HYPOTHERMIA/EXPOSURE","COLD/WIND CHILL"
"106","URBAN/SML STREAM FLD","FLOOD"
"107","AGRICULTURAL FREEZE","FROST/FREEZE"
"108","DAMAGING FREEZE","FROST/FREEZE"
"109","FREEZE","FROST/FREEZE"
"110","FREEZING DRIZZLE","FROST/FREEZE"
"111","FREEZING SPRAY","FROST/FREEZE"
"112","HARD FREEZE","FROST/FREEZE"
"113","HIGH SWELLS","MARINE STRONG WIND"
"114","DAM BREAK","OTHER"
"115","DOWNBURST","OTHER"
"116","DROWNING","OTHER"
"117","DRY MICROBURST","OTHER"
"118","GLAZE","OTHER"
"119","LANDSLIDE","OTHER"
"120","LANDSLIDES","OTHER"
"121","LANDSLUMP","OTHER"
"122","LANDSPOUT","OTHER"
"123","MICROBURST","OTHER"
"124","MIXED PRECIP","OTHER"
"125","MIXED PRECIPITATION","OTHER"
"126","MUD SLIDE","OTHER"
"127","MUDSLIDE","OTHER"
"128","MUDSLIDES","OTHER"
"129","OTHER","OTHER"
"130","ROCK SLIDE","OTHER"
"131","WET MICROBURST","OTHER"
